# ThrustCurves sample telemetry — synthetic autocross run, 2021 Mazda MX-5 (ND2), 10 Hz
# Course: launch → 70 m straight → brake → 5-gate slalom → straight → brake → sweeper → 110 m straight → brake → sweeper → finish
Time (s),Speed (mph),Distance (m),LongAccel (g),LatAccel (g),Throttle (%),RPM,Latitude,Longitude
18.800,43.12,342.36,0.460,0.000,100,7681,39.0023485,-103.9991407
18.900,44.01,344.31,0.384,0.000,100,4720,39.0023318,-103.9991338
19.000,44.85,346.30,0.383,0.000,100,4810,39.0023148,-103.9991267
19.100,45.69,348.32,0.383,0.000,100,4900,39.0022975,-103.9991195
19.200,46.53,350.39,0.382,0.000,100,4990,39.0022799,-103.9991122
19.300,47.37,352.49,0.381,0.000,100,5080,39.0022619,-103.9991048
19.400,48.20,354.62,0.380,0.000,100,5169,39.0022437,-103.9990972
19.500,49.03,356.80,0.378,0.000,100,5258,39.0022251,-103.9990895
19.600,49.86,359.01,0.377,0.000,100,5347,39.0022062,-103.9990817
19.700,50.69,361.26,0.375,0.000,100,5435,39.0021869,-103.9990737
19.800,51.51,363.54,0.374,0.000,100,5524,39.0021674,-103.9990656
19.900,52.33,365.86,0.372,0.000,100,5611,39.0021475,-103.9990574
20.000,53.14,368.22,0.370,0.000,100,5699,39.0021274,-103.9990490
20.100,53.95,370.62,0.368,0.000,100,5786,39.0021069,-103.9990405
20.200,54.76,373.05,0.366,0.000,100,5872,39.0020861,-103.9990319
20.300,55.56,375.52,0.364,0.000,100,5958,39.0020650,-103.9990232
20.400,56.35,378.02,0.361,0.000,100,6043,39.0020436,-103.9990143
20.500,57.14,380.56,0.358,0.000,100,6127,39.0020219,-103.9990053
20.600,57.92,383.13,0.355,0.000,100,6211,39.0019999,-103.9989962
20.700,58.70,385.74,0.353,0.000,100,6295,39.0019776,-103.9989870
20.800,59.47,388.38,0.350,0.000,100,6377,39.0019550,-103.9989776
20.900,60.24,391.05,0.348,0.000,100,6459,39.0019321,-103.9989681
21.000,61.00,393.76,0.346,0.000,100,6541,39.0019090,-103.9989585
21.100,61.75,396.51,0.344,0.000,100,6622,39.0018855,-103.9989488
21.200,62.51,399.29,0.342,0.000,100,6703,39.0018617,-103.9989390
21.300,63.25,402.10,0.340,0.000,100,6783,39.0018377,-103.9989290
21.400,64.00,404.94,0.339,0.000,100,6863,39.0018134,-103.9989189
21.500,64.74,407.82,0.338,0.000,100,6942,39.0017888,-103.9989087
21.600,65.48,410.73,0.336,0.000,100,7022,39.0017639,-103.9988984
21.700,66.21,413.68,0.333,0.000,100,7100,39.0017387,-103.9988880
21.800,66.94,416.66,0.329,0.000,100,7178,39.0017132,-103.9988774
21.900,67.66,419.67,0.324,0.000,100,7255,39.0016875,-103.9988668
22.000,68.36,422.71,0.318,0.000,100,7331,39.0016615,-103.9988560
22.100,69.05,425.78,0.313,0.000,100,7405,39.0016352,-103.9988451
22.200,69.74,428.88,0.309,0.000,100,7478,39.0016087,-103.9988341
22.300,70.41,432.02,0.305,0.000,100,7550,39.0015819,-103.9988230
22.400,71.05,435.18,-0.900,0.000,0,7619,39.0015549,-103.9988118
22.500,69.07,438.31,-0.900,0.000,0,7407,39.0015281,-103.9988007
22.600,67.10,441.35,-0.900,0.000,0,7195,39.0015021,-103.9987899
22.700,65.12,444.30,-0.900,0.000,0,6984,39.0014768,-103.9987795
22.800,63.15,447.17,-0.900,0.000,0,6772,39.0014523,-103.9987693
22.900,61.17,449.94,-0.900,0.000,0,6560,39.0014286,-103.9987595
23.000,59.20,452.63,-0.900,0.000,0,6348,39.0014056,-103.9987499
23.100,57.23,455.23,-0.900,0.000,0,6137,39.0013834,-103.9987407
23.200,55.25,457.74,-0.900,0.000,0,5925,39.0013619,-103.9987318
23.300,53.28,460.17,-0.900,0.000,0,5713,39.0013412,-103.9987232
23.400,51.30,462.50,-0.900,0.000,0,5502,39.0013212,-103.9987150
23.500,49.33,464.75,-0.900,0.000,0,5290,39.0013020,-103.9987070
23.600,47.35,466.91,-0.900,0.000,0,5078,39.0012835,-103.9986993
23.700,45.38,468.98,-0.900,0.000,0,4866,39.0012658,-103.9986920
23.800,43.41,470.96,-0.900,0.000,0,7732,39.0012489,-103.9986850
23.900,41.43,472.86,-0.900,0.000,0,7380,39.0012327,-103.9986783
24.000,40.25,474.67,0.002,1.000,30,7169,39.0012172,-103.9986719
24.100,40.25,476.47,0.001,1.000,30,7170,39.0012015,-103.9986666
24.200,40.25,478.27,0.001,1.000,30,7170,39.0011857,-103.9986623
24.300,40.26,480.07,0.001,1.000,30,7170,39.0011697,-103.9986592
24.400,40.26,481.87,0.001,1.000,30,7171,39.0011537,-103.9986571
24.500,40.26,483.67,0.001,1.000,30,7171,39.0011375,-103.9986562
24.600,40.26,485.47,0.000,1.000,30,7171,39.0011213,-103.9986565
24.700,40.26,487.27,0.000,1.000,30,7171,39.0011052,-103.9986578
24.800,40.26,489.07,0.000,1.000,30,7171,39.0010892,-103.9986603
24.900,40.26,490.87,0.000,1.000,30,7172,39.0010732,-103.9986640
25.000,40.26,492.67,0.000,1.000,30,7172,39.0010575,-103.9986687
25.100,40.26,494.47,0.000,1.000,30,7172,39.0010420,-103.9986745
25.200,40.26,496.27,0.000,1.000,30,7172,39.0010267,-103.9986814
25.300,40.26,498.07,0.000,1.000,30,7172,39.0010118,-103.9986894
25.400,40.26,499.87,0.000,1.000,30,7172,39.0009972,-103.9986984
25.500,40.26,501.67,0.000,1.000,30,7172,39.0009830,-103.9987084
25.600,40.26,503.47,0.000,1.000,30,7172,39.0009693,-103.9987194
25.700,41.16,505.28,0.572,0.000,100,7331,39.0009558,-103.9987311
25.800,42.39,507.15,0.554,0.000,100,7551,39.0009419,-103.9987433
25.900,43.46,509.07,0.409,0.000,100,7741,39.0009277,-103.9987558
26.000,44.31,511.04,0.384,0.000,100,4752,39.0009131,-103.9987686
26.100,45.15,513.04,0.383,0.000,100,4842,39.0008983,-103.9987816
26.200,45.99,515.07,0.382,0.000,100,4932,39.0008831,-103.9987949
26.300,46.83,517.15,0.382,0.000,100,5022,39.0008677,-103.9988084
26.400,47.66,519.26,0.380,0.000,100,5111,39.0008520,-103.9988222
26.500,48.50,521.41,0.379,0.000,100,5201,39.0008361,-103.9988362
26.600,49.33,523.60,0.378,0.000,100,5290,39.0008199,-103.9988504
26.700,50.15,525.83,0.376,0.000,100,5378,39.0008033,-103.9988649
26.800,50.98,528.09,0.375,0.000,100,5467,39.0007866,-103.9988796
26.900,51.80,530.38,0.373,0.000,100,5555,39.0007695,-103.9988946
27.000,52.62,532.72,0.372,0.000,100,5642,39.0007522,-103.9989098
27.100,53.43,535.09,0.369,0.000,100,5730,39.0007346,-103.9989252
27.200,54.24,537.50,0.367,0.000,100,5816,39.0007167,-103.9989409
27.300,55.04,539.94,0.365,0.000,100,5902,39.0006986,-103.9989568
27.400,55.84,542.42,0.363,0.000,100,5988,39.0006802,-103.9989730
27.500,56.63,544.94,0.360,0.000,100,6073,39.0006615,-103.9989894
27.600,57.42,547.49,0.357,0.000,100,6157,39.0006426,-103.9990060
27.700,58.20,550.07,0.354,0.000,100,6241,39.0006234,-103.9990228
27.800,58.97,552.69,0.352,0.000,100,6324,39.0006039,-103.9990399
27.850,59.36,554.01,0.000,0.000,0,6365,39.0005941,-103.9990485
